,Title,Description,User_enrolled,Rating,User_vote,Link,Category,Level
0,2020 Complete Python Bootcamp Zero Hero Python,Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games!,1100093.0,4.6,318066.0,https://www.udemy.com/course/complete-python-bootcamp/,Tech,All Levels
1,Web Developer Bootcamp,"The only course you need to learn web development - HTML, CSS, JS, Node, and More!",596726.0,4.6,182997.0,https://www.udemy.com/course/the-web-developer-bootcamp/,Tech,All Levels
2,Machine Learning AZ HandsOn Python  R Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,692812.0,4.5,132228.0,https://www.udemy.com/course/machinelearning/,Tech,All Levels
3,Angular  Complete Guide 2020 Edition,"Master Angular 10 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",422557.0,4.6,129984.0,https://www.udemy.com/course/the-complete-guide-to-angular-2/,Tech,All Levels
4,Java Programming Masterclass Software Developers,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,502572.0,4.6,123798.0,https://www.udemy.com/course/java-the-complete-java-developer-course/,Tech,Intermediate
5,React  Complete Guide incl Hooks React Router Redux,"Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",304670.0,4.6,90964.0,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,Tech,Beginner
6,Complete 2020 Web Development Bootcamp,"Become a full-stack web developer with just one course. HTML, CSS, Javascript, Node, React, MongoDB and more!",270656.0,4.7,88098.0,https://www.udemy.com/course/the-complete-web-development-bootcamp/,Tech,All Levels
7,Python Data Science Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",387789.0,4.6,87403.0,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Tech,All Levels
8,Complete JavaScript Course 2020 Build Real Projects,"Master JavaScript with the most complete course! Projects, challenges, quizzes, JavaScript ES6+, OOP, AJAX, Webpack",347979.0,4.6,83521.0,https://www.udemy.com/course/the-complete-javascript-course/,Tech,All Levels
9,Complete C Unity Game Developer 2D,"Learn Unity in C# & Code Your First Seven 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap (35 hours)",364934.0,4.6,78989.0,https://www.udemy.com/course/unitycourse/,Tech,All Levels
10,Data Science Course 2020 Complete Data Science Bootcamp,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",325047.0,4.5,76907.0,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,Tech,All Levels
11,Automate Boring Stuff Python Programming,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",692617.0,4.6,70508.0,https://www.udemy.com/course/automate/,Tech,All Levels
12,Complete Web Developer Course 20,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",273598.0,4.5,63175.0,https://www.udemy.com/course/the-complete-web-developer-course-2/,Tech,All Levels
13,Modern React Redux 2020 Update,"Master React v16.6.3 and Redux with React Router, Webpack, and Create-React-App. Includes Hooks!",203214.0,4.7,60835.0,https://www.udemy.com/course/react-redux/,Tech,All Levels
14,Learn Python Programming Masterclass,This Python For Beginners Course Teaches You The Python Language Fast. Includes Python Online Training With Python 3,240790.0,4.5,58677.0,https://www.udemy.com/course/python-the-complete-python-developer-course/,Tech,All Levels
15,Complete Nodejs Developer Course 3rd Edition,"Learn Node.js by building real-world applications with Node, Express, MongoDB, Jest, and more!",202922.0,4.7,50885.0,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,Tech,Beginner
16,iOS 13  Swift 5  Complete iOS App Development Bootcamp,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,179598.0,4.8,49972.0,https://www.udemy.com/course/ios-13-app-development-bootcamp/,Tech,Beginner
